time,"	Load0","	Load1","	Load2","	Load3","	Load4","	Load5","	Load6"
2020031710.55.29.45,	1,	1,	1,	1,	1,	1,	1
2020031710.55.30.45,	1,	1,	1,	1,	1,	1,	1
2020031710.55.31.45,	1,	1,	1,	1,	1,	1,	1
2020031710.55.32.45,	1,	1,	1,	1,	1,	1,	1
2020031710.55.33.45,	1,	1,	1,	1,	1,	1,	1
2020031710.55.34.45,	1,	1,	1,	1,	1,	1,	1
2020031710.55.35.45,	1,	1,	1,	1,	1,	1,	1
2020031710.55.36.45,	1,	1,	1,	1,	1,	1,	1
2020031710.55.37.45,	1,	1,	1,	1,	1,	1,	1
2020031710.55.38.46,	1,	1,	1,	1,	1,	1,	1
2020031710.55.39.46,	1,	1,	1,	1,	1,	1,	1
2020031710.55.40.46,	1,	1,	1,	1,	1,	1,	1
2020031710.55.41.46,	1,	1,	1,	1,	1,	1,	1
2020031710.55.42.46,	1,	1,	1,	1,	1,	1,	1
2020031710.55.43.46,	1,	1,	1,	1,	1,	1,	1
2020031710.55.44.46,	1,	1,	1,	1,	1,	1,	1
2020031710.55.45.46,	1,	1,	1,	1,	1,	1,	1
2020031710.55.46.46,	1,	1,	1,	1,	1,	1,	1
2020031710.55.47.46,	1,	1,	1,	1,	1,	1,	1
2020031710.55.48.46,	1,	1,	1,	1,	1,	1,	1
2020031710.55.49.46,	1,	1,	1,	1,	1,	1,	1
2020031710.55.50.46,	1,	1,	1,	1,	1,	1,	1
2020031710.55.51.46,	1,	1,	1,	1,	1,	1,	1
2020031710.55.52.46,	1,	1,	1,	1,	1,	1,	1
2020031710.55.53.46,	1,	1,	1,	1,	1,	1,	1
2020031710.55.54.46,	1,	1,	1,	1,	1,	1,	1
2020031710.55.55.46,	1,	1,	1,	1,	1,	1,	1
2020031710.55.56.46,	1,	1,	1,	1,	1,	1,	1
2020031710.55.57.46,	1,	1,	1,	1,	1,	1,	1
2020031710.55.58.46,	1,	1,	1,	1,	1,	1,	1
2020031710.55.59.46,	1,	1,	1,	1,	1,	1,	1
2020031710.56.00.46,	1,	1,	1,	1,	1,	1,	1
2020031710.56.01.46,	1,	1,	1,	1,	1,	1,	1
2020031710.56.02.46,	1,	1,	1,	1,	1,	1,	1
2020031710.56.03.46,	1,	1,	1,	1,	1,	1,	1
2020031710.56.04.46,	1,	1,	1,	1,	1,	1,	1
2020031710.56.05.46,	1,	1,	1,	1,	1,	1,	1
2020031710.56.06.46,	1,	1,	1,	1,	1,	1,	1
2020031710.56.07.46,	1,	1,	1,	1,	1,	1,	1
2020031710.56.08.46,	1,	1,	1,	1,	1,	1,	1
2020031710.56.09.46,	1,	1,	1,	1,	1,	1,	1
2020031710.56.10.46,	1,	1,	1,	1,	1,	1,	1
2020031710.56.11.46,	1,	1,	1,	1,	1,	1,	1
2020031710.56.12.46,	1,	1,	1,	1,	1,	1,	1
2020031710.56.13.47,	1,	1,	1,	1,	1,	1,	1
2020031710.56.14.47,	1,	1,	1,	1,	1,	1,	1
2020031710.56.15.47,	1,	1,	1,	1,	1,	1,	1
2020031710.56.16.47,	1,	1,	1,	1,	1,	1,	1
2020031710.56.17.47,	1,	1,	1,	1,	1,	1,	1
2020031710.56.18.47,	1,	1,	1,	1,	1,	1,	1
2020031710.56.19.47,	1,	1,	1,	1,	1,	1,	1
2020031710.56.20.47,	1,	1,	1,	1,	1,	1,	1
2020031710.56.21.47,	1,	1,	1,	1,	1,	1,	1
2020031710.56.22.47,	1,	1,	1,	1,	1,	1,	1
2020031710.56.23.47,	1,	1,	1,	1,	1,	1,	1
2020031710.56.24.47,	1,	1,	1,	1,	1,	1,	1
2020031710.56.25.47,	1,	1,	1,	1,	1,	1,	1
2020031710.56.26.47,	1,	1,	1,	1,	1,	1,	1
2020031710.56.27.47,	1,	1,	1,	1,	1,	1,	1
2020031710.56.28.47,	1,	1,	1,	1,	1,	1,	1
2020031710.56.29.47,	1,	1,	1,	1,	1,	1,	1
2020031710.56.30.47,	1,	1,	1,	1,	1,	1,	1
2020031710.56.31.47,	1,	1,	1,	1,	1,	1,	1
2020031710.56.32.47,	1,	1,	1,	1,	1,	1,	1
2020031710.56.33.47,	1,	1,	1,	1,	1,	1,	1
2020031710.56.34.47,	1,	1,	1,	1,	1,	1,	1
2020031710.56.35.47,	1,	1,	1,	1,	1,	1,	1
2020031710.56.36.48,	1,	1,	1,	1,	1,	1,	1
2020031710.56.37.48,	1,	1,	1,	1,	1,	1,	1
2020031710.56.38.48,	1,	1,	1,	1,	1,	1,	1
2020031710.56.39.48,	1,	1,	1,	1,	1,	1,	1
2020031710.56.40.48,	1,	1,	1,	1,	1,	1,	1
2020031710.56.41.48,	1,	1,	1,	1,	1,	1,	1
2020031710.56.42.48,	1,	1,	1,	1,	1,	1,	1
2020031710.56.43.48,	1,	1,	1,	1,	1,	1,	1
2020031710.56.44.48,	1,	1,	1,	1,	1,	1,	1
2020031710.56.45.48,	1,	1,	1,	1,	1,	1,	1
2020031710.56.46.48,	1,	1,	1,	1,	1,	1,	1
2020031710.56.47.48,	1,	1,	1,	1,	0,	1,	1
2020031710.56.48.48,	1,	1,	1,	1,	0,	1,	1
2020031710.56.49.48,	1,	1,	1,	1,	0,	1,	1
2020031710.56.50.48,	1,	1,	1,	1,	0,	1,	1
2020031710.56.51.48,	1,	1,	1,	1,	0,	1,	1
2020031710.56.52.48,	1,	1,	1,	1,	0,	1,	1
2020031710.56.53.48,	0,	1,	1,	1,	0,	1,	0
2020031710.56.54.48,	0,	0,	1,	1,	0,	0,	0
2020031710.56.55.48,	0,	0,	0,	0,	0,	0,	0
2020031710.56.56.48,	0,	0,	0,	0,	0,	0,	0
2020031710.56.57.48,	0,	0,	0,	0,	0,	0,	0
2020031710.56.58.48,	0,	0,	0,	0,	0,	0,	0
2020031710.56.59.48,	0,	0,	0,	0,	0,	0,	0
2020031710.57.00.48,	0,	0,	0,	0,	0,	0,	0
2020031710.57.01.48,	0,	0,	0,	0,	0,	0,	0
2020031710.57.02.48,	0,	0,	0,	0,	0,	0,	0
2020031710.57.03.48,	0,	0,	0,	0,	0,	0,	0
2020031710.57.04.48,	0,	0,	0,	0,	0,	0,	0
2020031710.57.05.48,	0,	0,	0,	0,	0,	0,	0
2020031710.57.06.48,	0,	0,	0,	0,	0,	0,	0
2020031710.57.07.48,	0,	0,	0,	0,	0,	0,	0
2020031710.57.08.48,	0,	0,	0,	0,	0,	0,	0
2020031710.57.09.48,	0,	0,	0,	0,	0,	0,	0
2020031710.57.10.48,	0,	0,	0,	0,	0,	0,	0
2020031710.57.11.48,	0,	0,	0,	0,	0,	0,	0
2020031710.57.12.48,	0,	0,	0,	0,	0,	0,	0
2020031710.57.13.48,	0,	0,	0,	0,	0,	0,	0
2020031710.57.14.48,	0,	0,	0,	0,	0,	0,	0
2020031710.57.15.49,	0,	0,	0,	0,	0,	0,	0
2020031710.57.16.49,	0,	0,	0,	0,	0,	0,	0
2020031710.57.17.49,	0,	0,	0,	0,	0,	0,	0
2020031710.57.18.49,	0,	0,	0,	0,	0,	0,	0
2020031710.57.19.49,	0,	0,	0,	0,	0,	0,	0
2020031710.57.20.49,	0,	0,	0,	0,	0,	0,	0
2020031710.57.21.49,	0,	0,	0,	0,	0,	0,	0
2020031710.57.22.49,	0,	0,	0,	0,	0,	0,	0
2020031710.57.23.49,	0,	0,	0,	0,	0,	0,	0
2020031710.57.24.49,	0,	0,	0,	0,	0,	0,	0
2020031710.57.25.49,	0,	0,	0,	0,	0,	0,	0
2020031710.57.26.49,	0,	0,	0,	0,	0,	0,	0
2020031710.57.27.49,	0,	0,	0,	0,	0,	0,	0
2020031710.57.28.49,	0,	0,	0,	0,	0,	0,	0
2020031710.57.29.49,	0,	0,	0,	0,	0,	0,	0
2020031710.57.30.49,	0,	0,	0,	0,	0,	0,	0
2020031710.57.31.49,	0,	0,	0,	0,	0,	0,	0
2020031710.57.32.49,	0,	0,	0,	0,	0,	0,	0
2020031710.57.33.49,	0,	0,	0,	0,	0,	0,	0
2020031710.57.34.49,	0,	0,	0,	0,	0,	0,	0
2020031710.57.35.49,	0,	0,	0,	0,	0,	0,	0
2020031710.57.36.49,	0,	0,	0,	0,	0,	0,	0
2020031710.57.37.49,	0,	0,	0,	0,	0,	0,	0
2020031710.57.38.49,	0,	0,	0,	0,	0,	0,	0
2020031710.57.39.49,	1,	1,	1,	1,	1,	1,	0
2020031710.57.40.49,	1,	1,	1,	1,	1,	1,	1
2020031710.57.41.49,	1,	1,	1,	1,	1,	1,	1
2020031710.57.42.49,	1,	1,	1,	1,	1,	1,	1
2020031710.57.43.49,	1,	1,	1,	1,	1,	1,	1
2020031710.57.44.49,	1,	1,	1,	1,	1,	1,	1
2020031710.57.45.49,	1,	1,	1,	1,	1,	1,	1
2020031710.57.46.49,	1,	1,	1,	1,	1,	1,	1
2020031710.57.47.49,	1,	1,	1,	1,	1,	1,	1
2020031710.57.48.50,	1,	1,	1,	1,	1,	1,	1
2020031710.57.49.49,	1,	1,	1,	1,	1,	1,	1
2020031710.57.50.50,	1,	1,	1,	1,	1,	1,	1
2020031710.57.51.50,	1,	1,	1,	1,	1,	1,	1
2020031710.57.52.50,	1,	1,	1,	1,	1,	1,	1
2020031710.57.53.50,	1,	1,	1,	1,	1,	1,	1
2020031710.57.54.50,	1,	1,	1,	1,	1,	1,	1
2020031710.57.55.50,	1,	1,	1,	1,	1,	1,	1
2020031710.57.56.50,	1,	1,	1,	1,	1,	1,	1
2020031710.57.57.50,	1,	1,	1,	1,	1,	1,	1
2020031710.57.58.50,	1,	1,	1,	1,	1,	1,	1
2020031710.57.59.50,	1,	1,	1,	1,	1,	1,	1
2020031710.58.00.50,	1,	1,	1,	1,	1,	1,	1
2020031710.58.01.50,	1,	1,	1,	1,	1,	1,	1
2020031710.58.02.50,	1,	1,	1,	1,	1,	1,	1
2020031710.58.03.50,	1,	1,	1,	1,	1,	1,	1
2020031710.58.04.50,	1,	1,	1,	1,	1,	1,	1
2020031710.58.05.50,	1,	1,	1,	1,	1,	1,	1
2020031710.58.06.50,	1,	1,	1,	1,	1,	1,	1
2020031710.58.07.50,	1,	1,	1,	1,	1,	1,	1
2020031710.58.08.50,	1,	1,	1,	1,	1,	1,	1
2020031710.58.09.50,	1,	1,	1,	1,	1,	1,	1
2020031710.58.10.50,	1,	1,	1,	1,	1,	1,	1
2020031710.58.11.50,	1,	1,	1,	1,	1,	1,	1
2020031710.58.12.50,	1,	1,	1,	1,	1,	1,	1
2020031710.58.13.50,	1,	1,	1,	1,	1,	1,	1
2020031710.58.14.51,	1,	1,	1,	1,	1,	1,	1
2020031710.58.15.50,	1,	1,	1,	1,	1,	1,	1
2020031710.58.16.51,	1,	1,	1,	1,	1,	1,	1
2020031710.58.17.51,	1,	1,	1,	1,	1,	1,	1
2020031710.58.18.51,	1,	1,	1,	1,	1,	1,	1
2020031710.58.19.51,	1,	1,	1,	1,	1,	1,	1
2020031710.58.20.51,	1,	1,	1,	1,	1,	1,	1
2020031710.58.21.51,	1,	1,	1,	1,	1,	1,	1
2020031710.58.22.51,	1,	1,	1,	1,	1,	1,	1
2020031710.58.23.51,	1,	1,	1,	1,	1,	1,	1
2020031710.58.24.51,	1,	1,	1,	1,	1,	1,	1
2020031710.58.25.51,	1,	1,	1,	1,	1,	1,	1
2020031710.58.26.51,	1,	1,	1,	1,	1,	1,	1
2020031710.58.27.51,	1,	1,	1,	1,	1,	1,	1
2020031710.58.28.51,	1,	1,	1,	1,	1,	1,	1
2020031710.58.29.51,	1,	1,	1,	1,	1,	1,	1
2020031710.58.30.51,	1,	1,	1,	1,	1,	1,	1
2020031710.58.31.51,	1,	1,	1,	1,	1,	1,	1
2020031710.58.32.51,	1,	1,	1,	1,	1,	1,	1
2020031710.58.33.51,	1,	1,	1,	1,	1,	1,	1
2020031710.58.34.51,	1,	1,	1,	1,	0,	1,	1
2020031710.58.35.51,	1,	1,	1,	1,	0,	1,	1
2020031710.58.36.51,	1,	1,	1,	1,	0,	1,	1
