time,"	Load0","	Load1","	Load2","	Load3","	Load4","	Load5","	Load6"
2020033011.10.26.08,"	1","	1","	1","	1","	1","	1","	1"
2020033011.10.31.08,"	1","	1","	1","	1","	1","	1","	1"
2020033011.10.36.08,"	1","	1","	1","	1","	1","	1","	1"
2020033011.10.41.08,"	1","	1","	1","	1","	1","	1","	1"
2020033011.10.46.08,"	1","	1","	1","	1","	1","	1","	1"
2020033011.10.51.08,"	1","	1","	1","	1","	1","	1","	1"
2020033011.10.56.08,"	1","	1","	1","	1","	1","	1","	1"
2020033011.11.01.08,"	1","	1","	1","	1","	1","	1","	1"
2020033011.11.06.08,"	1","	1","	1","	1","	1","	1","	1"
2020033011.11.11.08,"	1","	1","	1","	1","	1","	1","	1"
2020033011.11.16.08,"	1","	1","	1","	1","	1","	1","	1"
2020033011.11.21.08,"	1","	1","	1","	1","	1","	1","	1"
2020033011.11.26.08,"	1","	1","	1","	1","	1","	1","	1"
2020033011.11.31.08,"	1","	1","	1","	1","	1","	1","	1"
2020033011.11.36.08,"	1","	1","	1","	1","	1","	1","	1"
2020033011.11.41.08,"	1","	1","	1","	1","	1","	1","	1"
2020033011.11.46.08,"	1","	1","	1","	1","	1","	1","	1"
2020033011.11.51.08,"	1","	1","	1","	1","	1","	1","	1"
2020033011.11.56.08,"	1","	1","	1","	1","	1","	1","	1"
2020033011.12.01.08,"	1","	1","	1","	1","	1","	1","	1"
2020033011.12.06.08,"	1","	1","	1","	1","	1","	1","	1"
2020033011.12.11.08,"	1","	1","	1","	1","	1","	1","	1"
2020033011.12.16.08,"	1","	1","	1","	1","	1","	1","	1"
2020033011.12.21.08,"	1","	1","	1","	1","	1","	1","	1"
2020033011.12.26.08,"	1","	1","	1","	1","	1","	1","	1"
2020033011.12.31.09,"	1","	1","	1","	1","	1","	1","	1"
2020033011.12.36.09,"	1","	1","	1","	1","	1","	1","	1"
2020033011.12.41.08,"	1","	1","	1","	1","	1","	1","	1"
2020033011.12.46.09,"	1","	1","	1","	1","	1","	1","	1"
2020033011.12.51.09,"	1","	1","	1","	1","	1","	1","	1"
2020033011.12.56.09,"	1","	1","	1","	1","	1","	1","	1"
2020033011.13.01.09,"	1","	1","	1","	1","	1","	1","	1"
2020033011.13.06.09,"	1","	1","	1","	1","	1","	1","	1"
2020033011.13.11.09,"	1","	1","	1","	1","	1","	1","	1"
2020033011.13.16.09,"	1","	1","	1","	1","	1","	1","	1"
2020033011.13.21.09,"	1","	1","	1","	1","	1","	1","	1"
2020033011.13.26.09,"	1","	1","	1","	1","	1","	1","	1"
2020033011.13.31.09,"	1","	1","	1","	1","	1","	1","	1"
2020033011.13.36.09,"	1","	1","	1","	1","	1","	1","	1"
2020033011.13.41.09,"	1","	1","	1","	1","	1","	1","	1"
2020033011.13.46.09,"	1","	1","	1","	1","	1","	1","	1"
2020033011.13.51.09,"	1","	1","	1","	1","	1","	1","	1"
2020033011.13.56.09,"	1","	1","	1","	1","	1","	1","	1"
2020033011.14.01.09,"	1","	1","	1","	1","	1","	1","	1"
2020033011.14.06.09,"	1","	1","	1","	1","	1","	1","	1"
2020033011.14.11.09,"	1","	1","	1","	1","	1","	1","	1"
2020033011.14.16.09,"	1","	1","	1","	1","	1","	1","	1"
2020033011.14.21.09,"	1","	1","	1","	1","	1","	1","	1"
2020033011.14.26.09,"	1","	1","	1","	1","	1","	1","	1"
2020033011.14.31.09,"	1","	1","	1","	1","	1","	1","	1"
2020033011.14.36.09,"	1","	1","	1","	1","	1","	1","	1"
2020033011.14.41.09,"	1","	1","	1","	1","	1","	1","	1"
2020033011.14.46.09,"	1","	1","	1","	1","	1","	1","	1"
2020033011.14.51.09,"	1","	1","	1","	1","	1","	1","	1"
2020033011.14.56.09,"	1","	1","	1","	1","	1","	1","	1"
2020033011.15.01.09,"	1","	1","	1","	1","	1","	1","	1"
2020033011.15.06.09,"	1","	1","	1","	1","	1","	1","	1"
2020033011.15.11.09,"	1","	1","	1","	1","	1","	1","	1"
2020033011.15.16.09,"	1","	1","	1","	1","	1","	1","	1"
2020033011.15.21.09,"	1","	1","	1","	1","	1","	1","	1"
